kp=5,kd=0
1031,3593,1800
1039,3537,1800
1047,3522,1800
1055,3550,1800
1063,3560,1800
1071,3550,1800
1079,3547,1800
1087,3550,1800
1095,3548,1800
1103,3552,1800
1111,3557,1800
1119,3551,1800
1127,3544,1800
1135,3548,1800
1143,3546,1800
1151,3527,1800
1159,3526,1800
1167,3542,1800
1175,3538,1800
1183,3535,1800
1191,3539,1800
1199,3535,1800
1207,3534,1800
1215,3539,1800
1223,3538,1800
1231,3536,1800
1239,3536,1800
1247,3538,1800
1255,3534,1800
1263,3535,1800
1271,3538,1800
1279,3537,1800
1287,3535,1800
1295,3534,1800
1303,3535,1800
1311,3536,1800
1319,3534,1800
1327,3535,1800
1335,3534,1800
1343,3535,1800
1351,3547,1800
1359,3585,1800
1367,53,1800
1375,153,1800
1383,274,1800
1391,390,1800
1399,579,1800
1407,866,1800
1415,1130,1800
1423,1425,1800
1431,1751,1800
1439,2076,1800
1447,2754,1800
1455,3074,1800
1463,3397,1800
1471,68,1800
1479,302,1800
1487,902,1800
1495,1489,1800
1503,2221,1800
1511,2811,1800
1519,3240,1800
1527,46,1800
1535,388,1800
1543,831,1800
1551,1447,1800
1559,2705,1800
1567,3072,1800
1575,3493,1800
1583,250,1800
1591,703,1800
1599,1758,1800
1607,2434,1800
1615,2300,1800
1623,1993,1800
1631,1812,1800
1639,1752,1800
1647,1799,1800
1655,1840,1800
1663,1857,1800
1671,1858,1800
1679,1845,1800
1687,1813,1800
1695,1799,1800
1703,1783,1800
1711,1771,1800
1719,1765,1800
1727,1757,1800
1735,1749,1800
1743,1748,1800
1751,1747,1800
1759,1744,1800
1767,1756,1800
1775,1828,1800
1783,2078,1800
1791,2450,1800
1799,2674,1800
1807,2773,1800
1815,2864,1800
1823,3008,1800
1831,3131,1800
1839,3263,1800
1847,3384,1800
1855,3494,1800
1863,3547,1800
